ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
01PS,small_airport,Nort's Resort Airport,1040.0,None,US,US-PA,Meshoppen,01PS,None,01PS,"-76.02960205078125, 41.59590148925781"
01WA,heliport,Willapa Harbor Heliport,154.0,None,US,US-WA,South Bend,01WA,None,01WA,"-123.81199645996094, 46.66320037841797"
02MU,closed,Timber Line Airpark,1550.0,None,US,US-MO,Cassville,None,None,None,"-93.797418, 36.654233"
02VA,small_airport,The Greenhouse Airport,320.0,None,US,US-VA,Culpeper,02VA,None,02VA,"-77.8572006225586, 38.435699462890625"
03PA,heliport,Collegeville Heliport,197.0,None,US,US-PA,Collegeville,03PA,None,03PA,"-75.4656982421875, 40.162899017333984"
03PR,small_airport,Sun View Field Airport,980.0,None,US,US-KS,Bonner Springs,03PR,None,03PR,"-94.921703, 39.065947"
03TA,closed,Gay Hill Farm Airport,505.0,None,US,US-TX,Gay Hill,None,None,None,"-96.500198, 30.262699"
04AR,heliport,Saline Memorial Hospital Heliport,430.0,None,US,US-AR,Benton,04AR,None,04AR,"-92.586047, 34.574319"
04LA,heliport,St James Heliport,10.0,None,US,US-LA,Lutcher,04LA,None,04LA,"-90.702222, 30.051111"
04LS,heliport,La National Guard Heliport,52.0,None,US,US-LA,Baton Rouge,04LS,None,04LS,"-91.10530090332031, 30.44610023498535"
04MA,closed,Goddard Field (Airport),200.0,None,US,US-MA,Haverhill,04MA,None,04MA,"-71.1391983032, 42.8097991943"
04TX,small_airport,Pocock Airport,565.0,None,US,US-TX,China Spring,04TX,None,04TX,"-97.36889648440001, 31.7322006226"
05B,seaplane_base,Van Buren Seaplane Base,440.0,None,US,US-ME,Van Buren,None,None,05B,"-67.931999, 47.158901"
05CO,small_airport,Rancho De Aereo Airport,4978.0,None,US,US-CO,Mead,05CO,None,05CO,"-104.9844228, 40.2149839"
05OI,small_airport,Dorlon Airpark,830.0,None,US,US-OH,Columbia Station,05OI,None,05OI,"-81.96260070800781, 41.28839874267578"
06CO,small_airport,Jecan Airport,5100.0,None,US,US-CO,Branson,06CO,None,06CO,"-103.69100189208984, 37.38750076293945"
06OH,small_airport,Hal Joy Airfield,1160.0,None,US,US-OH,Williamsfield,06OH,None,06OH,"-80.59120178222656, 41.50979995727539"
06OI,small_airport,Green Acres Airport,915.0,None,US,US-OH,New Lebanon,06OI,None,06OI,"-84.3822021484375, 39.734798431396484"
06TN,small_airport,Hunter STOLport,640.0,None,US,US-TN,Columbia,06TN,None,06TN,"-86.95690155029297, 35.69729995727539"
06TS,closed,Roscoe Mc Connico Airport,350.0,None,US,US-TX,Kerens,None,None,None,"-96.179101, 32.120701"
07FA,small_airport,Ocean Reef Club Airport,8.0,None,US,US-FL,Key Largo,07FA,OCA,07FA,"-80.274803161621, 25.325399398804"
07ID,small_airport,Interstate Airport,4580.0,None,US,US-ID,Malta,07ID,None,07ID,"-113.30500030517578, 42.2781982421875"
08AK,small_airport,Fisher Airport,200.0,None,US,US-AK,Big Lake,08AK,None,08AK,"-149.724439, 61.569639"
00AK,small_airport,Lowell Field,450.0,None,US,US-AK,Anchor Point,00AK,None,00AK,"-151.695999146, 59.94919968"
00GA,small_airport,Lt World Airport,700.0,None,US,US-GA,Lithonia,00GA,None,00GA,"-84.06829833984375, 33.76750183105469"
00GE,heliport,Caffrey Heliport,957.0,None,US,US-GA,Hiram,00GE,None,00GE,"-84.73390197753906, 33.88420104980469"
00LA,heliport,Shell Chemical East Site Heliport,15.0,None,US,US-LA,Gonzales,00LA,None,00LA,"-90.980833, 30.191944"
00NK,seaplane_base,Cliche Cove Seaplane Base,96.0,None,US,US-NY,Beekmantown,00NK,None,00NK,"-73.3698057, 44.8118612"
